Distance Squared = 4.804928, compared to 6.091024
Distance Squared = 1.244000, compared to 6.091024
Distance Squared = 0.829579, compared to 6.091024
Distance Squared = 3.954536, compared to 6.091024
Distance Squared = 5.313995, compared to 6.091024
Distance Squared = 2.852164, compared to 6.091024
Distance Squared = 3.551890, compared to 6.091024
Distance Squared = 3.014182, compared to 6.091024
Distance Squared = 2.059925, compared to 6.091024
Distance Squared = 4.419710, compared to 6.091024
Distance Squared = 2.223771, compared to 6.091024
Distance Squared = 3.798399, compared to 6.091024
Distance Squared = 0.926495, compared to 6.091024
Distance Squared = 2.044371, compared to 6.091024
Distance Squared = 0.481946, compared to 6.091024
Distance Squared = 5.933303, compared to 6.091024
Distance Squared = 2.027510, compared to 6.091024
Distance Squared = 2.350241, compared to 6.091024
Distance Squared = 0.686518, compared to 6.091024
Distance Squared = 1.153570, compared to 6.091024
Distance Squared = 0.094369, compared to 6.091024
Distance Squared = 0.500325, compared to 6.091024
Distance Squared = 4.969712, compared to 6.091024
Distance Squared = 4.996023, compared to 6.091024
Distance Squared = 4.622697, compared to 6.091024
Distance Squared = 4.379716, compared to 6.091024
Distance Squared = 5.503586, compared to 6.091024
Distance Squared = 1.706557, compared to 6.091024
Distance Squared = 2.145193, compared to 6.091024
Distance Squared = 1.556319, compared to 6.091024
Distance Squared = 1.418388, compared to 6.091024
Distance Squared = 3.379925, compared to 6.091024
Distance Squared = 2.052077, compared to 6.091024
Distance Squared = 4.955560, compared to 6.091024
Distance Squared = 5.395074, compared to 6.091024
Distance Squared = 3.302579, compared to 6.091024
Distance Squared = 0.322972, compared to 6.091024
Distance Squared = 0.959961, compared to 6.091024
Distance Squared = 5.975924, compared to 6.091024
Distance Squared = 0.641627, compared to 6.091024
Distance Squared = 1.282912, compared to 6.091024
Distance Squared = 2.685028, compared to 6.091024
Distance Squared = 5.227254, compared to 6.091024
Distance Squared = 2.113540, compared to 6.091024
Distance Squared = 2.279534, compared to 6.091024
Distance Squared = 5.833538, compared to 6.091024
Distance Squared = 2.359793, compared to 6.091024
Distance Squared = 5.806780, compared to 6.091024
Distance Squared = 0.802785, compared to 6.091024
Distance Squared = 4.261386, compared to 6.091024
Distance Squared = 3.095371, compared to 6.091024
Distance Squared = 1.533037, compared to 6.091024
Distance Squared = 4.588706, compared to 6.091024
Distance Squared = 3.539728, compared to 6.091024
Distance Squared = 1.336609, compared to 6.091024
Distance Squared = 3.864841, compared to 6.091024
Distance Squared = 0.849047, compared to 6.091024
Distance Squared = 0.233242, compared to 6.091024
Distance Squared = 4.355504, compared to 6.091024
Distance Squared = 4.300008, compared to 6.091024
Distance Squared = 4.371573, compared to 6.091024
Distance Squared = 1.545632, compared to 6.091024
Distance Squared = 2.298399, compared to 6.091024
Distance Squared = 0.577644, compared to 6.091024
Distance Squared = 2.204695, compared to 6.091024
Distance Squared = 3.007347, compared to 6.091024
Distance Squared = 0.240427, compared to 6.091024
Distance Squared = 3.727897, compared to 6.091024
Distance Squared = 4.846722, compared to 6.091024
Distance Squared = 0.645359, compared to 6.091024
Distance Squared = 0.753209, compared to 6.091024
Distance Squared = 1.319638, compared to 6.091024
Distance Squared = 1.951447, compared to 6.091024
Distance Squared = 1.241989, compared to 6.091024
Distance Squared = 1.622248, compared to 6.091024
Distance Squared = 3.024803, compared to 6.091024
Distance Squared = 0.144722, compared to 6.091024
Distance Squared = 0.222334, compared to 6.091024
Distance Squared = 1.700886, compared to 6.091024
Distance Squared = 2.969088, compared to 6.091024
Distance Squared = 1.640203, compared to 6.091024
Distance Squared = 3.677078, compared to 6.091024
Distance Squared = 0.432184, compared to 6.091024
Distance Squared = 2.174552, compared to 6.091024
Distance Squared = 3.208032, compared to 6.091024
Distance Squared = 3.380442, compared to 6.091024
Distance Squared = 0.224798, compared to 6.091024
Distance Squared = 5.416048, compared to 6.091024
Distance Squared = 0.871734, compared to 6.091024
Distance Squared = 1.709750, compared to 6.091024
Distance Squared = 5.184949, compared to 6.091024
Distance Squared = 0.096764, compared to 6.091024
Distance Squared = 3.336200, compared to 6.091024
Distance Squared = 2.782986, compared to 6.091024
Distance Squared = 3.578500, compared to 6.091024
Distance Squared = 4.505041, compared to 6.091024
Distance Squared = 2.080066, compared to 6.091024
Distance Squared = 4.331875, compared to 6.091024
Distance Squared = 1.380959, compared to 6.091024
Distance Squared = 1.243245, compared to 6.091024
Distance Squared = 3.982088, compared to 6.091024
Distance Squared = 2.246139, compared to 6.091024
Distance Squared = 4.199094, compared to 6.091024
Distance Squared = 1.204882, compared to 6.091024
Distance Squared = 2.898421, compared to 6.091024
Distance Squared = 5.475946, compared to 6.091024
Distance Squared = 0.270227, compared to 6.091024
Distance Squared = 2.958620, compared to 6.091024
Distance Squared = 2.982747, compared to 6.091024
Distance Squared = 1.496710, compared to 6.091024
Distance Squared = 3.178263, compared to 6.091024
Distance Squared = 5.366460, compared to 6.091024
Distance Squared = 2.864945, compared to 6.091024
Distance Squared = 4.596791, compared to 6.091024
Distance Squared = 4.078056, compared to 6.091024
Distance Squared = 4.654661, compared to 6.091024
